7896,Woodland Drive
2569,6th Street West
4521,Brookside Drive
326,Hillside Avenue
45,Lake Street
78,Prospect Avenue
15,13th Street
456,4th Avenue
358,College Street
9713,Dogwood Lane
127,Mill Road
156,5th Street North
213,7th Avenue
9874,8th Street
1547,Beech Street
236,Division Street
1879,Harrison Street
1820,Heather Lane
1761,Lakeview Drive
1702,Laurel Lane
1642,New Street
1583,Primrose Lane
1524,Railroad Street
1464,Willow Street
1405,5th Street West
1346,6th Avenue
1287,Clinton Street
1227,George Street
1168,Hillcrest Drive
1109,Hillside Drive
1050,Laurel Street
990,Oak Lane
931,Park Drive
872,Penn Street
813,Railroad Avenue
753,Riverside Drive
694,Route 32
635,Route 6
575,Sherwood Drive
516,Summit Street
457,4th Street North
398,Berkshire Drive
338,Buckingham Drive
279,Cedar Lane
220,Circle Drive
161,Durham Road
101,Elm Avenue
42,Grant Street
17,Hamilton Street
76,Holly Drive
136,King Street
195,Lafayette Avenue
254,Linden Street
314,Poplar Street
373,2nd Street East
432,6th Street North
491,7th Street East
551,Cambridge Drive
610,Clark Street
669,Essex Court
728,Fairview Avenue
788,Franklin Avenue
847,Front Street North
906,Highland Drive
965,Hilltop Road
1025,James Street
1084,Mulberry Street
1143,Myrtle Avenue
1203,Ridge Avenue
1262,Route 10
1321,Route 29
1380,Shady Lane
1440,Surrey Lane
1499,Walnut Avenue
1558,Warren Street
1617,Williams Street
1677,Wood Street
1736,5th Street
1795,Grove Street
1855,Pearl Street
1914,Lincoln Street
1973,Dogwood Drive
2032,Madison Street
2092,Pennsylvania Avenue
2151,Pleasant Street
2210,4th Street West
2269,Adams Street
2329,Jefferson Avenue
2388,Lincoln Avenue
2447,3rd Street West
2506,7th Street
2566,Academy Street
2625,11th Street
2684,2nd Avenue
2744,East Street
2803,Green Street
2862,Hickory Lane
2921,Route 1
2981,12th Street
3040,5th Avenue
